Time Step,Queue 0 PRBs,Queue 1 PRBs,Queue 2 PRBs
1329,16,16,16
1330,16,16,16
1331,16,16,16
1332,16,16,16
1333,16,16,16
1334,16,16,16
1335,16,16,16
1336,16,16,16
1337,16,16,16
1338,16,16,16
1339,16,16,16
1340,16,16,16
1341,16,16,16
1342,16,16,16
1343,16,16,16
1344,16,16,16
1345,16,16,16
1346,16,16,16
1347,16,16,16
1348,16,16,16
1349,16,16,16
1350,16,16,16
1351,16,16,16
1352,16,16,16
1353,16,16,16
1354,16,16,16
1355,16,16,16
1356,16,16,16
1357,16,16,16
1358,16,16,16
1359,16,16,16
1360,16,16,16
1361,16,16,16
1362,16,16,16
1363,16,16,16
1364,16,16,16
1365,16,16,16
1366,16,16,16
1367,16,16,16
1368,16,16,16
1369,16,16,16
1370,16,16,16
1371,16,16,16
1372,16,16,16
1373,16,16,16
1374,16,16,16
1375,16,16,16
1376,16,16,16
1377,16,16,16
1378,16,16,16
1379,16,16,16
1380,16,16,16
1381,16,16,16
1382,16,16,16
1383,16,16,16
1384,16,16,16
1385,16,16,16
1386,16,16,16
1387,16,16,16
1388,16,16,16
1389,16,16,16
1390,16,16,16
1391,16,16,16
1392,16,16,16
1393,16,16,16
1394,16,16,16
1395,16,16,16
1396,16,16,16
1397,16,16,16
1398,16,16,16
1399,16,16,16
1400,16,16,16
1401,16,16,16
1402,16,16,16
1403,16,16,16
1404,16,16,16
1405,16,16,16
1406,16,16,16
1407,16,16,0
1408,16,16,0
1409,16,16,0
1410,16,16,0
1411,16,16,0
1412,16,16,0
1413,16,16,0
1414,16,16,0
1415,16,16,0
1416,16,16,0
1417,16,16,0
1418,16,16,0
1419,16,16,0
1420,16,16,0
1421,16,16,0
1422,16,16,0
1423,16,16,0
1424,16,16,0
1425,16,16,0
1426,16,16,0
1427,16,16,0
1428,16,16,0
1429,16,16,0
1430,16,16,0
1431,16,16,0
1432,16,16,0
1433,16,16,0
1434,16,16,0
1435,16,16,0
1436,16,16,0
1437,16,16,0
1438,16,16,0
1439,16,16,0
1440,16,16,0
1441,16,16,0
1442,16,16,0
1443,16,16,-1
1444,16,16,-1
1445,16,16,-1
1446,16,16,-1
1447,16,16,-1
1448,16,16,-1
1449,16,16,-1
1450,16,16,-1
1451,16,16,-1
1452,16,16,-1
1453,16,16,-1
1454,16,16,-1
1455,16,16,-1
1456,16,16,-1
1457,16,16,-1
1458,16,16,-1
1459,16,16,-1
1460,16,16,-1
1461,16,16,-1
1462,16,16,-1
1463,16,16,-1
1464,16,16,-1
1465,16,16,-1
1466,16,16,-1
1467,16,16,-1
1468,16,16,-1
1469,16,16,-1
1470,16,16,-1
1471,16,16,-1
1472,16,16,-1
1473,16,16,-1
1474,16,16,-1
1475,16,16,-1
1476,16,16,-1
1477,16,16,-1
1478,16,16,-2
1479,16,16,-2
1480,16,16,-2
1481,16,16,-2
1482,16,16,-2
1483,16,16,-2
1484,16,16,-2
1485,16,16,-2
1486,16,16,-2
1487,16,16,-2
1488,16,16,-2
1489,16,16,-2
1490,16,16,-2
1491,16,16,-2
1492,16,16,-2
1493,16,16,-2
1494,16,16,-2
1495,16,16,-2
1496,16,16,-2
1497,16,16,-2
1498,16,16,-2
1499,16,16,-2
1500,16,16,-2
1501,16,16,-2
1502,16,16,-2
1503,16,16,-2
1504,16,16,-2
1505,16,16,-2
1506,16,16,-3
1507,16,16,-3
1508,16,16,-3
1509,16,16,-3
1510,16,16,-3
1511,16,16,-3
1512,16,16,-3
1513,16,16,-3
1514,16,16,-3
1515,16,16,-3
